Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
evArrowStonePartsBundle,items,Item,,,Disassembled Stone Arrow Kit,,,,,,,,,,Набор деталей каменной стрелы,,,
evArrowStonePartsBundleDesc,items,Item,,,Open to receive raw materials for 100 Stone Arrows: 100 Small Stones; 100 Wood; 100 Feathers.,,,,,,,,,,Содержит материалы для крафта 100 каменных стрел: 100 камешков; 100 дерева; 100 перьев.,,,
evArrowIronPartsBundle,items,Item,,,Disassembled Iron Arrow Kit,,,,,,,,,,Набор деталей железной стрелы,,,
evArrowIronPartsBundleDesc,items,Item,,,Open to receive raw materials for 100 Iron Arrows: 100 Iron Arrowheads; 100 Wood; 100 Feathers.,,,,,,,,,,Содержит материалы для крафта 100 железных стрел: 100 железных наконечников; 100 дерева; 100 перьев.,,,
evArrowSteelAPPartsBundle,items,Item,,,Disassembled Steel AP Arrow Kit,,,,,,,,,,Набор деталей бронебойной стальной стрелы,,,
evArrowSteelAPPartsBundleDesc,items,Item,,,Open to receive raw materials for 100 Steel AP Arrows: 100 Steel AP Arrowheads; 200 Scrap Polymers.,,,,,,,,,,Содержит материалы для крафта 100 бронебойных стальных стрел: 100 стальных наконечников; 200 полимеров.,,,
evArrowFlamingPartsBundle,items,Item,,,Disassembled Flaming Arrow Kit,,,,,,,,,,Набор деталей огненной стрелы,,,
evArrowFlamingPartsBundleDesc,items,Item,,,Open to receive raw materials for 100 Flaming Arrows: 100 Steel AP Arrowheads; 200 Scrap Polymers; 200 Gun Powder; 500 Cloth; 100 Animal Fat.,,,,,,,,,,Содержит материалы для крафта 100 огненных стрел: 100 стальных наконечников; 200 полимеров; 200 пороха; 500 ткани; 100 животного жира.,,,
evArrowExplodingPartsBundle,items,Item,,,Disassembled Exploding Arrow Kit,,,,,,,,,,Набор деталей взрывной стрелы,,,
evArrowExplodingPartsBundleDesc,items,Item,,,Open to receive raw materials for 75 Exploding Arrows: 75 Steel AP Arrowheads; 150 Scrap Polymers; 450 Gun Powder; 75 Paper; 75 Yucca Fibers.,,,,,,,,,,Содержит материалы для крафта 75 взрывных стрел: 75 стальных наконечников; 150 полимеров; 450 пороха; 75 бумаги; 75 волокон юкки.,,,
evCrossbowBoltStonePartsBundle,items,Item,,,Disassembled Stone Crossbow Bolt Kit,,,,,,,,,,Набор деталей каменного арбалетного болта,,,
evCrossbowBoltStonePartsBundleDesc,items,Item,,,Open to receive raw materials for 100 Stone Crossbow Bolts: 100 Small Stones; 100 Wood; 100 Feathers.,,,,,,,,,,Содержит материалы для крафта 100 каменных арбалетных болтов: 100 камешков; 100 дерева; 100 перьев.,,,
evCrossbowBoltIronPartsBundle,items,Item,,,Disassembled Iron Crossbow Bolt Kit,,,,,,,,,,Набор деталей железного арбалетного болта,,,
evCrossbowBoltIronPartsBundleDesc,items,Item,,,Open to receive raw materials for 100 Iron Crossbow Bolts: 100 Iron Arrowheads; 100 Wood; 100 Feathers.,,,,,,,,,,Содержит материалы для крафта 100 железных арбалетных болтов: 100 железных наконечников; 100 дерева; 100 перьев.,,,
evCrossbowBoltSteelAPPartsBundle,items,Item,,,Disassembled Steel AP Crossbow Bolt Kit,,,,,,,,,,Набор деталей бронебойного стального арбалетного болта,,,
evCrossbowBoltSteelAPPartsBundleDesc,items,Item,,,Open to receive raw materials for 100 Steel AP Crossbow Bolts: 100 Steel AP Arrowheads; 200 Scrap Polymers.,,,,,,,,,,Содержит материалы для крафта 100 бронебойных стальных болтов: 100 стальных наконечников; 200 полимеров.,,,
evCrossbowBoltFlamingPartsBundle,items,Item,,,Disassembled Flaming Crossbow Bolt Kit,,,,,,,,,,Набор деталей огненного арбалетного болта,,,
evCrossbowBoltFlamingPartsBundleDesc,items,Item,,,Open to receive raw materials for 100 Flaming Crossbow Bolts: 100 Steel AP Arrowheads; 200 Scrap Polymers; 200 Gun Powder; 500 Cloth; 100 Animal Fat.,,,,,,,,,,Содержит материалы для крафта 100 огненных арбалетных болтов: 100 стальных наконечников; 200 полимеров; 200 пороха; 500 ткани; 100 животного жира.,,,
evCrossbowBoltExplodingPartsBundle,items,Item,,,Disassembled Exploding Crossbow Bolt Kit,,,,,,,,,,Набор деталей взрывного арбалетного болта,,,
evCrossbowBoltExplodingPartsBundleDesc,items,Item,,,Open to receive raw materials for 75 Exploding Crossbow Bolts: 75 Steel AP Arrowheads; 150 Scrap Polymers; 600 Gun Powder; 75 Paper; 75 Yucca Fibers.,,,,,,,,,,Содержит материалы для крафта 75 взрывных арбалетных болтов: 75 стальных наконечников; 150 полимеров; 600 пороха; 75 бумаги; 75 волокон юкки.,,,
