Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
modDyeRoyalPurple,item_modifiers,mod,,,Dye: Royal Purple,,Färben: Königslila,Tinte: Púrpura Real,Teinture : pourpre royal,Tintura: Viola Reale,染料：ロイヤルパープル,염색: 로열 퍼플,Barwnik: Królewski Purpurowy,Tintura: Púrpura Real,Краситель: Королевский Пурпур,Boya: Kraliyet Moru,染色剂:皇家紫,染料：皇家紫
modDyeTurquoise,item_modifiers,mod,,,Dye: Turquoise,,Färben: Türkis,Tinte: Turquesa,Teinture : turquoise,Tintura: Turchese,染料：ターコイズ,염색: 터쿼이즈,Barwnik: Turkusowy,Tintura: Turquesa,Краситель: Бирюзовый,Boya: Turkuaz,染色剂:绿松石色,染料：綠松石色
modDyeGold,item_modifiers,mod,,,Dye: Gold,,Färben: Gold,Tinte: Dorado,Teinture : or,Tintura: Oro,染料：ゴールド,염색: 골드,Barwnik: Złoty,Tintura: Dourado,Краситель: Золотой,Boya: Altın,染色剂:金色,染料：金色
modDyeSilver,item_modifiers,mod,,,Dye: Silver,,Färben: Silber,Tinte: Plata,Teinture : argent,Tintura: Argento,染料：シルバー,염색: 실버,Barwnik: Srebrny,Tintura: Prata,Краситель: Серебряный,Boya: Gümüş,染色剂:银色,染料：銀色
modDyeBronze,item_modifiers,mod,,,Dye: Bronze,,Färben: Bronze,Tinte: Bronce,Teinture : bronze,Tintura: Bronzo,染料：ブロンズ,염색: 브론즈,Barwnik: Brązowy,Tintura: Bronze,Краситель: Бронзовый,Boya: Bronz,染色剂:青铜色,染料：青銅色
modDyeLime,item_modifiers,mod,,,Dye: Lime,,Färben: Limettengrün,Tinte: Lima,Teinture : citron vert,Tintura: Lime,染料：ライム,염색: 라임,Barwnik: Limonkowy,Tintura: Lima,Краситель: Лайм,Boya: Limon Yeşili,染色剂:青柠色,染料：青檸色
modDyeCandyPink,item_modifiers,mod,,,Dye: Candy Pink,,Färben: Bonbonrosa,Tinte: Rosa Caramelo,Teinture : rose bonbon,Tintura: Rosa Confetto,染料：キャンディーピンク,염색: 캔디 핑크,Barwnik: Cukierkowy Róż,Tintura: Rosa Doce,Краситель: Леденцовый Розовый,Boya: Şeker Pembesi,染色剂:糖果粉,染料：糖果粉
modDyeNeonOrange,item_modifiers,mod,,,Dye: Neon Orange,,Färben: Neonorange,Tinte: Naranja Neón,Teinture : orange fluo,Tintura: Arancione Neon,染料：ネオンオレンジ,염색: 네온 오렌지,Barwnik: Neonowy Pomarańczowy,Tintura: Laranja Neon,Краситель: Неоновый Оранжевый,Boya: Neon Turuncu,染色剂:霓虹橙,染料：霓虹橙
modDyePlasmaBlue,item_modifiers,mod,,,Dye: Plasma Blue,,,,,,,,,,Краситель: Плазменный синий,,,
modDyeAcidYellow,item_modifiers,mod,,,Dye: Acid Yellow,,,,,,,,,,Краситель: Кислотно-жёлтый,,,
modDyeToxicMint,item_modifiers,mod,,,Dye: Toxic Mint,,,,,,,,,,Краситель: Ядовито-мятный,,,
modDyeBloodNeon,item_modifiers,mod,,,Dye: Blood Neon,,,,,,,,,,Краситель: Неоново-красный,,,
modDyeBlacklightIndigo,item_modifiers,mod,,,Dye: Blacklight Indigo,,,,,,,,,,Краситель: Ультрафиолетовый индиго,,,
modDyeRadioactiveCyan,item_modifiers,mod,,,Dye: Radioactive Cyan,,,,,,,,,,Краситель: Радиоактивный голубой,,,
modDyeVenomGreen,item_modifiers,mod,,,Dye: Venom Green,,,,,,,,,,Краситель: Ядовито-зелёный,,,
modDyeMoltenRed,item_modifiers,mod,,,Dye: Molten Red,,,,,,,,,,Краситель: Раскалённый красно-алый,,,
